Symbol,Yahoo Symbol,Company,Price,Trailing P/E,Forward P/E,Market Cap,Beta,Dividend Rate,Dividend Yield,Currency,Quote Type,Sector,Industry,Weight
VRSK,VRSK,"Verisk Analytics, Inc.",181.11,27.608232,20.960278,23729364992.0,0.819,2.0,1.1,USD,EQUITY,Industrials,Consulting Services,0.0007033806624259
EA,EA,Electronic Arts Inc.,202.09,75.68913,21.997124,50573770752.0,0.725,0.76,0.38,USD,EQUITY,Communication Services,Electronic Gaming & Multimedia,0.0006974124769787
ODFL,ODFL,"Old Dominion Freight Line, Inc.",205.81,42.877083,33.224743,42896076800.0,1.205,1.16,0.56,USD,EQUITY,Industrials,Trucking,0.0006966600794209
XEL,XEL,Xcel Energy Inc.,82.58,23.798271,18.22745,51543314432.0,0.44,2.37,2.87,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0006963322964299
TRGP,TRGP,"Targa Resources, Inc.",254.28,29.950531,21.939716,54657941504.0,0.811,4.25,1.67,USD,EQUITY,Energy,Oil & Gas Midstream,0.0006935877034187
A,A,"Agilent Technologies, Inc.",114.52,25.280352,17.398596,32363614208.0,1.303,1.02,0.89,USD,EQUITY,Healthcare,Diagnostics & Research,0.0006911413428185
IT,IT,"Gartner, Inc.",146.4,15.170984,9.944023,9883491328.0,1.045,,,USD,EQUITY,Technology,Information Technology Services,0.0006817290778155
LVS,LVS,Las Vegas Sands Corp.,53.79,19.84871,14.603594,35643260928.0,0.887,1.1,2.04,USD,EQUITY,Consumer Cyclical,Resorts & Casinos,0.0006815560484848
SYY,SYY,Sysco Corporation,74.05,20.569447,14.934434,35409424384.0,0.693,2.2,2.97,USD,EQUITY,Consumer Defensive,Food Distribution,0.0006802436637534
VLO,VLO,Valero Energy Corporation,246.87,18.019709,13.1213255,73820602368.0,0.612,4.8,1.94,USD,EQUITY,Energy,Oil & Gas Refining & Marketing,0.0006754606702673
OTIS,OTIS,Otis Worldwide Corporation,77.08,20.5,16.342594,29576835072.0,1.045,1.7,2.21,USD,EQUITY,Industrials,Specialty Industrial Machinery,0.0006723978005614
LEN,LEN,Lennar Corporation,88.45,12.726619,11.618834,21785083904.0,1.487,2.0,2.26,USD,EQUITY,Consumer Cyclical,Residential Construction,0.0006711927853933
EXC,EXC,Exelon Corporation,46.5,17.032967,15.292632,47577640960.0,0.505,1.68,3.61,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0006692535746455
IR,IR,Ingersoll Rand Inc.,77.99,52.695942,20.265038,30520358912.0,1.333,0.08,0.1,USD,EQUITY,Industrials,Specialty Industrial Machinery,0.0006690941783754
YUM,YUM,"Yum! Brands, Inc.",158.36,25.500805,21.122158,43775479808.0,0.662,3.0,1.89,USD,EQUITY,Consumer Cyclical,Restaurants,0.0006645607804357
KHC,KHC,The Kraft Heinz Company,22.49,,10.510377,26622418944.0,0.051,1.6,7.11,USD,EQUITY,Consumer Defensive,Packaged Foods,0.000663947292711
GEHC,GEHC,GE HealthCare Technologies Inc.,61.03,14.635491,11.342305,27762044928.0,1.305,0.14,0.23,USD,EQUITY,Healthcare,Health Information Services,0.000648618353122
IQV,IQV,"IQVIA Holdings, Inc.",157.77,20.123724,11.179047,26484273152.0,1.391,,,USD,EQUITY,Healthcare,Diagnostics & Research,0.0006441683010822
GIS,GIS,"General Mills, Inc.",34.72,8.488997,10.564624,18529413120.0,0.0,2.44,7.03,USD,EQUITY,Consumer Defensive,Packaged Foods,0.0006308421686262
CCL,CCL,Carnival Corporation,26.66,11.7444935,10.2617,36927819776.0,2.482,0.15,0.56,USD,EQUITY,Consumer Cyclical,Travel Services,0.000630672971291
RMD,RMD,ResMed Inc.,205.02,19.770493,16.897593,29866985472.0,0.928,2.4,1.12,USD,EQUITY,Healthcare,Medical Instruments & Supplies,0.0006266409015183
VMC,VMC,Vulcan Materials Company (Holdi,297.32,35.22749,27.765924,38578724864.0,1.095,2.08,0.7,USD,EQUITY,Basic Materials,Building Materials,0.0006251822377318
HSY,HSY,The Hershey Company,182.34,33.892193,18.476841,36958670848.0,0.175,5.81,3.19,USD,EQUITY,Consumer Defensive,Confectioners,0.0006198523742872
ACGL,ACGL,Arch Capital Group Ltd.,93.82,7.216923,9.36431,33137223680.0,0.384,,,USD,EQUITY,Financial Services,Insurance - Diversified,0.0006159175782439
IDXX,IDXX,"IDEXX Laboratories, Inc.",567.46,43.28452,34.60586,45183455232.0,1.722,,,USD,EQUITY,Healthcare,Diagnostics & Research,0.0006073452940013
WAB,WAB,Westinghouse Air Brake Technolo,264.95,37.47525,21.846916,44956012544.0,0.987,1.06,0.4,USD,EQUITY,Industrials,Railroads,0.000596948832565
ROK,ROK,"Rockwell Automation, Inc.",407.43,46.510273,29.65014,45808652288.0,1.541,5.52,1.35,USD,EQUITY,Industrials,Specialty Industrial Machinery,0.0005893188875752
MLM,MLM,"Martin Marietta Materials, Inc.",614.49,38.453693,26.493055,37061148672.0,1.188,3.32,0.54,USD,EQUITY,Basic Materials,Building Materials,0.0005868412077818
EXR,EXR,Extra Space Storage Inc,142.02,31.91461,29.708254,31333888000.0,1.274,6.48,4.56,USD,EQUITY,Real Estate,REIT - Industrial,0.0005833211515481
DD,DD,"DuPont de Nemours, Inc.",46.24,220.19049,18.175745,18952722432.0,1.122,0.8,1.73,USD,EQUITY,Basic Materials,Specialty Chemicals,0.0005811099796654
ETR,ETR,Entergy Corporation,116.43,29.70153,23.26255,53305389056.0,0.565,2.56,2.2,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0005796235707584
DECK,DECK,Deckers Outdoor Corporation,100.88,14.329545,13.734924,14319911936.0,1.211,,,USD,EQUITY,Consumer Cyclical,Footwear & Accessories,0.0005766377462676
EFX,EFX,"Equifax, Inc.",173.85,30.607397,16.879755,20972326912.0,1.559,2.06,1.18,USD,EQUITY,Industrials,Consulting Services,0.0005763126530427
UAL,UAL,"United Airlines Holdings, Inc.",92.52,8.275492,6.5667644,30029191168.0,1.286,,,USD,EQUITY,Industrials,Airlines,0.0005763055785896
WTW,WTW,Willis Towers Watson Public Lim,256.34,15.061104,11.533853,24167198720.0,0.63,3.84,1.5,USD,EQUITY,Financial Services,Insurance Brokers,0.0005754908742605
TTWO,TTWO,"Take-Two Interactive Software, ",216.03,,27.422806,40003452928.0,0.965,,,USD,EQUITY,Communication Services,Electronic Gaming & Multimedia,0.0005749800766432
HIG,HIG,"The Hartford Insurance Group, I",135.81,9.557354,9.418711,37229707264.0,0.528,2.4,1.77,USD,EQUITY,Financial Services,Insurance - Property & Casualty,0.000570941411417
RJF,RJF,"Raymond James Financial, Inc.",156.2,14.7497635,11.670512,30396518400.0,1.01,2.16,1.38,USD,EQUITY,Financial Services,Asset Management,0.0005691928055941
AVB,AVB,"AvalonBay Communities, Inc.",183.45,22.732342,37.097706,25520107520.0,0.763,7.12,3.88,USD,EQUITY,Real Estate,REIT - Residential,0.0005685381976111
MTB,MTB,M&T Bank Corporation,216.44,12.152723,10.372473,32142338048.0,0.598,6.0,2.77,USD,EQUITY,Financial Services,Banks - Regional,0.0005656221228058
DXCM,DXCM,"DexCom, Inc.",61.35,26.330473,20.110863,23673307136.0,,,,USD,EQUITY,Healthcare,Medical Devices,0.0005624649270593
ED,ED,"Consolidated Edison, Inc.",110.49,19.625221,17.019094,40706863104.0,0.335,3.48,3.15,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0005611765291452
EBAY,EBAY,eBay Inc.,104.07,24.034643,15.419879,46207078400.0,1.33,1.24,1.19,USD,EQUITY,Consumer Cyclical,Internet Retail,0.0005602442120342
HPQ,HPQ,HP Inc.,20.83,7.890151,7.0039644,19121616896.0,1.131,1.2,5.76,USD,EQUITY,Technology,Computer Hardware,0.0005557693257165
IRM,IRM,Iron Mountain Incorporated (Del,127.19,138.25,47.570602,37836333056.0,1.152,3.46,2.72,USD,EQUITY,Real Estate,REIT - Specialty,0.0005548982099936
EIX,EIX,Edison International,69.88,7.595652,10.731304,26889400320.0,0.767,3.51,5.02,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0005538821048293
LYV,LYV,"Live Nation Entertainment, Inc.",158.25,,71.07855,37208502272.0,1.147,,,USD,EQUITY,Communication Services,Entertainment,0.0005529477611823
VICI,VICI,VICI Properties Inc.,28.58,9.787671,9.721088,30774376448.0,0.728,1.78,6.24,USD,EQUITY,Real Estate,REIT - Diversified,0.0005460268827255
CNC,CNC,Centene Corporation,53.34,,12.060942,26339131392.0,0.587,,,USD,EQUITY,Healthcare,Healthcare Plans,0.0005411746553995
WEC,WEC,"WEC Energy Group, Inc.",117.46,24.369293,19.564243,38256676864.0,0.525,3.81,3.24,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0005378569579996
MCHP,MCHP,Microchip Technology Incorporat,93.95,,35.289165,50839678976.0,1.474,1.82,1.94,USD,EQUITY,Technology,Semiconductors,0.0005363092003201
HUM,HUM,Humana Inc.,233.63,24.933832,15.337309,28049969152.0,0.445,3.54,1.52,USD,EQUITY,Healthcare,Healthcare Plans,0.0005353041489888
ANSS,ANSS,,,,,,,,,,,Technology,Software - Application,0.0005323854581097
BRO,BRO,"Brown & Brown, Inc.",57.63,18.771988,11.793427,19533563904.0,0.826,0.65,1.12,USD,EQUITY,Financial Services,Insurance Brokers,0.0005295487498245
CSGP,CSGP,"CoStar Group, Inc.",34.72,496.00003,19.545698,14178110464.0,0.92,,,USD,EQUITY,Real Estate,Real Estate Services,0.0005269199272896
MPWR,MPWR,"Monolithic Power Systems, Inc.",1583.48,113.67408,61.00373,77777371136.0,,8.0,0.51,USD,EQUITY,Technology,Semiconductors,0.0005206180634739
GDDY,GDDY,GoDaddy Inc.,86.76,13.749604,8.196505,11512782848.0,0.977,,,USD,EQUITY,Technology,Software - Infrastructure,0.0005188270109327
TSCO,TSCO,Tractor Supply Company,33.83,16.665026,14.595486,17806465024.0,0.747,0.96,2.84,USD,EQUITY,Consumer Cyclical,Specialty Retail,0.0005182166551274
STT,STT,State Street Corporation,152.0,15.431472,11.034443,42068590592.0,1.384,3.36,2.21,USD,EQUITY,Financial Services,Asset Management,0.0005179222178656
CAH,CAH,"Cardinal Health, Inc.",195.24,29.853212,16.396597,45943099392.0,0.65,2.04,1.05,USD,EQUITY,Healthcare,Medical Distribution,0.0005149989212228
GPN,GPN,Global Payments Inc.,72.36,16.334087,4.465396,19916584960.0,0.765,1.0,1.38,USD,EQUITY,Industrials,Specialty Business Services,0.0005129503143756
FITB,FITB,Fifth Third Bancorp,50.43,16.979797,10.276526,45680652288.0,0.973,1.6,3.17,USD,EQUITY,Financial Services,Banks - Regional,0.0005127591936052
XYL,XYL,Xylem Inc.,115.37,28.770573,18.95846,27422697472.0,1.174,1.72,1.49,USD,EQUITY,Industrials,Specialty Industrial Machinery,0.0005120057643563
HPE,HPE,Hewlett Packard Enterprise Comp,28.57,,10.50781,37908221952.0,1.215,0.57,2.0,USD,EQUITY,Technology,Communication Equipment,0.0005113888130973
KEYS,KEYS,Keysight Technologies Inc.,352.41,62.15344,34.10176,60439195648.0,1.152,,,USD,EQUITY,Technology,Scientific & Technical Instruments,0.0005085284127635
DOW,DOW,Dow Inc.,40.29,,19.4728,29038673920.0,0.495,1.4,3.47,USD,EQUITY,Basic Materials,Chemicals,0.0005030659033244
EQR,EQR,Equity Residential,65.17,26.067999,43.624653,25177683968.0,0.744,2.81,4.31,USD,EQUITY,Real Estate,REIT - Residential,0.000502036975714
ON,ON,ON Semiconductor Corporation,103.03,355.27588,25.391668,40524513280.0,1.524,,,USD,EQUITY,Technology,Semiconductors,0.000501771020495
PPG,PPG,"PPG Industries, Inc.",107.51,15.402579,12.47113,23963979776.0,1.155,2.84,2.64,USD,EQUITY,Basic Materials,Specialty Chemicals,0.0005017533343624
K,K,,,,,,,,,,,Consumer Defensive,Packaged Foods,0.0004992249911683
SW,SW,Smurfit WestRock plc,39.43,54.763885,12.510788,20651532288.0,1.054,1.81,4.59,USD,EQUITY,Consumer Cyclical,Packaging & Containers,0.0004986082978321
NUE,NUE,Nucor Corporation,226.04,22.424603,14.439234,51477364736.0,1.745,2.24,0.99,USD,EQUITY,Basic Materials,Steel,0.0004925018657817
EL,EL,"Estee Lauder Companies, Inc. (T",79.3,,25.860271,28684955648.0,1.252,1.4,1.77,USD,EQUITY,Consumer Defensive,Household & Personal Products,0.0004802516765719
BR,BR,"Broadridge Financial Solutions,",155.25,16.604277,14.955567,17962424320.0,1.015,3.9,2.51,USD,EQUITY,Technology,Information Technology Services,0.0004752946957563
WBD,WBD,"Warner Bros. Discovery, Inc. - ",26.97,93.0,-1541.1428,67607539712.0,1.637,,,USD,EQUITY,Communication Services,Entertainment,0.0004718098644033
TPL,TPL,Texas Pacific Land Corporation,433.62,62.123207,5.930251,29894434816.0,0.773,2.4,0.55,USD,EQUITY,Energy,Oil & Gas E&P,0.000468372306609
CHD,CHD,"Church & Dwight Company, Inc.",96.02,31.585526,23.982157,22744745984.0,0.473,1.23,1.28,USD,EQUITY,Consumer Defensive,Household & Personal Products,0.0004676700934524
MTD,MTD,"Mettler-Toledo International, I",1267.07,30.118135,24.74969,25656270848.0,1.435,,,USD,EQUITY,Healthcare,Diagnostics & Research,0.0004672679918584
DOV,DOV,Dover Corporation,225.79,28.259073,19.475853,30405197824.0,1.254,2.08,0.92,USD,EQUITY,Industrials,Specialty Industrial Machinery,0.0004671671072103
TYL,TYL,"Tyler Technologies, Inc.",335.5,46.275864,23.363964,14147181568.0,0.921,,,USD,EQUITY,Technology,Software - Application,0.0004661739571724
FTV,FTV,Fortive Corporation,59.03,34.520466,18.50064,18017339392.0,1.001,0.26,0.44,USD,EQUITY,Technology,Scientific & Technical Instruments,0.0004647206729179
TROW,TROW,"T. Rowe Price Group, Inc.",103.42,11.096567,10.679471,22224957440.0,1.523,5.2,5.03,USD,EQUITY,Financial Services,Asset Management,0.0004641225131748
VLTO,VLTO,Veralto Corp,87.63,22.58505,18.874792,21521862656.0,1.153,0.52,0.59,USD,EQUITY,Industrials,Pollution & Treatment Controls,0.000463848230735
EQT,EQT,EQT Corporation,58.66,11.13093,12.558822,36690538496.0,0.693,0.66,1.13,USD,EQUITY,Energy,Oil & Gas E&P,0.0004615019810145
SYF,SYF,Synchrony Financial,75.76,7.8426504,7.225678,25483409408.0,1.381,1.2,1.58,USD,EQUITY,Financial Services,Credit Services,0.0004584635402792
NVR,NVR,"NVR, Inc.",6154.14,15.037605,14.658645,16812046336.0,1.072,,,USD,EQUITY,Consumer Cyclical,Residential Construction,0.0004562415724864
DTE,DTE,DTE Energy Company,148.79,24.431854,17.819353,30952501248.0,,4.51,3.03,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.000447791727866
VTR,VTR,"Ventas, Inc.",88.02,160.03635,97.08053,42792656896.0,0.768,2.08,2.36,USD,EQUITY,Real Estate,REIT - Healthcare Facilities,0.0004434930396444
AWK,AWK,"American Water Works Company, I",127.38,22.585106,19.371233,24874833920.0,0.734,3.58,2.81,USD,EQUITY,Utilities,Utilities - Regulated Water,0.0004415245730856
ADM,ADM,Archer-Daniels-Midland Company,74.94,33.60538,15.40552,36113219584.0,0.636,2.08,2.78,USD,EQUITY,Consumer Defensive,Farm Products,0.0004346902461402
NTAP,NTAP,"NetApp, Inc.",112.08,18.805368,13.140017,22198603776.0,1.292,2.08,1.86,USD,EQUITY,Technology,Computer Hardware,0.0004332583326292
WST,WST,"West Pharmaceutical Services, I",300.68,40.14419,31.473906,21242316800.0,1.151,0.88,0.29,USD,EQUITY,Healthcare,Medical Instruments & Supplies,0.0004318044219908
CPAY,CPAY,"Corpay, Inc.",307.22,20.454062,10.3193245,20317071360.0,0.851,,,USD,EQUITY,Technology,Software - Infrastructure,0.0004312278172218
PPL,PPL,PPL Corporation,37.6,23.647797,17.770468,28281407488.0,0.68,1.14,3.03,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0004305735408538
LYB,LYB,LyondellBasell Industries NV,74.99,,13.122804,24204468224.0,,4.8,6.4,USD,EQUITY,Basic Materials,Specialty Chemicals,0.0004294449813631
AEE,AEE,Ameren Corporation,113.56,21.226168,19.58174,31416737792.0,0.533,3.0,2.64,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0004288038222101
EXPE,EXPE,"Expedia Group, Inc.",251.84,25.645622,10.875311,30226360320.0,1.332,1.68,0.67,USD,EQUITY,Consumer Cyclical,Travel Services,0.0004266074993096
HBAN,HBAN,Huntington Bancshares Incorpora,16.63,12.792308,8.772438,33711179776.0,0.974,0.62,3.73,USD,EQUITY,Financial Services,Banks - Regional,0.000426570321585
CDW,CDW,CDW Corporation,136.03,16.835396,11.997314,17546997760.0,1.018,2.52,1.85,USD,EQUITY,Technology,Information Technology Services,0.0004184510234137
FE,FE,FirstEnergy Corp.,46.92,25.499998,15.93198,27139989504.0,0.59,1.86,3.96,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0004125694631702
HUBB,HUBB,Hubbell Inc,508.43,30.29976,23.40491,27028951040.0,0.997,5.68,1.12,USD,EQUITY,Industrials,Electrical Equipment & Parts,0.0004121181351738
HAL,HAL,Halliburton Company,41.66,23.016575,14.600331,34802671616.0,0.693,0.68,1.63,USD,EQUITY,Energy,Oil & Gas Equipment & Services,0.0004104652555436
ROL,ROL,"Rollins, Inc.",54.78,50.256878,39.286278,26374578176.0,0.84,0.73,1.33,USD,EQUITY,Consumer Cyclical,Personal Services,0.0004088261195123
PHM,PHM,"PulteGroup, Inc.",119.21,11.529014,10.6539755,22707877888.0,1.341,1.04,0.87,USD,EQUITY,Consumer Cyclical,Residential Construction,0.0004077839273025
CINF,CINF,Cincinnati Financial Corporatio,162.05,9.26,17.697367,25066985472.0,0.642,3.55,2.19,USD,EQUITY,Financial Services,Insurance - Property & Casualty,0.0004065748959085
PTC,PTC,PTC Inc.,136.53,20.107512,16.394249,16246539264.0,1.058,,,USD,EQUITY,Technology,Software - Application,0.0004054115168442
WRB,WRB,W.R. Berkley Corporation,66.38,14.06356,13.777387,25889460224.0,0.373,0.36,0.54,USD,EQUITY,Financial Services,Insurance - Property & Casualty,0.0004015508183273
DRI,DRI,"Darden Restaurants, Inc.",194.76,20.544304,17.129889,22306836480.0,0.627,6.0,3.08,USD,EQUITY,Consumer Cyclical,Restaurants,0.000396560307552
FOXA,FOXA,Fox Corporation,63.35,15.191846,12.280963,26948839424.0,0.505,0.56,0.88,USD,EQUITY,Communication Services,Entertainment,0.000394837199237
FOX,FOX,Fox Corporation,56.93,13.652278,11.454729,24217798656.0,0.505,0.56,0.98,USD,EQUITY,Communication Services,Entertainment,0.0003947520110316
IFF,IFF,International Flavors & Fragran,70.81,,14.914245,18087550976.0,1.032,1.6,2.26,USD,EQUITY,Basic Materials,Specialty Chemicals,0.0003944076472914
SBAC,SBAC,SBA Communications Corporation,218.58,23.00842,25.286612,23183251456.0,0.88,5.0,2.29,USD,EQUITY,Real Estate,REIT - Specialty,0.0003938010497892
WAT,WAT,Waters Corporation,307.12,28.569302,18.794178,30148583424.0,1.203,,,USD,EQUITY,Healthcare,Diagnostics & Research,0.0003932880045592
ERIE,ERIE,Erie Indemnity Company,214.96,19.684982,15.343327,11240229888.0,0.438,5.85,2.72,USD,EQUITY,Financial Services,Insurance Brokers,0.0003918083384902
TDY,TDY,Teledyne Technologies Incorpora,640.33,32.471096,24.639174,29665937408.0,1.008,,,USD,EQUITY,Technology,Scientific & Technical Instruments,0.0003917584120117
ATO,ATO,Atmos Energy Corporation,188.54,24.581486,21.266373,31191857152.0,0.688,4.0,2.12,USD,EQUITY,Utilities,Utilities - Regulated Gas,0.0003906065289337
RF,RF,Regions Financial Corporation,28.19,11.697095,9.856334,24083177472.0,1.045,1.06,3.76,USD,EQUITY,Financial Services,Banks - Regional,0.0003886778561732
BIIB,BIIB,Biogen Inc.,187.06,20.113977,11.736001,27616999424.0,0.162,,,USD,EQUITY,Healthcare,Drug Manufacturers - General,0.0003839958947196
ZBH,ZBH,"Zimmer Biomet Holdings, Inc.",82.9,21.476685,9.218076,16046877696.0,0.612,0.96,1.16,USD,EQUITY,Healthcare,Medical Devices,0.0003836602635073
CNP,CNP,"CenterPoint Energy, Inc (Holdin",43.35,26.59509,20.816225,28358246400.0,0.532,0.92,2.12,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0003815442651257
MKC,MKC,"McCormick & Company, Incorporat",50.24,8.236066,15.013866,13506682880.0,0.706,1.92,3.82,USD,EQUITY,Consumer Defensive,Packaged Foods,0.0003806403563652
ES,ES,Eversource Energy (D/B/A),71.07,15.585526,14.203348,26711328768.0,0.776,3.15,4.43,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0003754163886395
WDC,WDC,Western Digital Corporation,431.52,25.83952,26.187263,147536379904.0,1.829,0.6,0.14,USD,EQUITY,Technology,Computer Hardware,0.0003746761871439
TSN,TSN,"Tyson Foods, Inc.",63.68,113.71429,14.470655,22420389888.0,0.434,2.04,3.2,USD,EQUITY,Consumer Defensive,Farm Products,0.0003717923158384
TER,TER,"Teradyne, Inc.",345.42,64.08535,36.309475,54078758912.0,1.794,0.52,0.15,USD,EQUITY,Technology,Semiconductor Equipment & Materials,0.000369042969679
STE,STE,STERIS plc (Ireland),214.4,29.944134,19.352364,21042718720.0,1.07,2.46,1.15,USD,EQUITY,Healthcare,Medical Devices,0.000368475097438
PKG,PKG,Packaging Corporation of Americ,218.06,26.527979,17.950472,19453872128.0,0.918,5.0,2.29,USD,EQUITY,Consumer Cyclical,Packaging & Containers,0.0003683480888982
CLX,CLX,Clorox Company (The),87.11,14.1642275,13.78733,10532632576.0,,4.96,5.69,USD,EQUITY,Consumer Defensive,Household & Personal Products,0.0003662040506272
NTRS,NTRS,Northern Trust Corporation,164.48,17.205019,13.953421,30481586176.0,1.242,3.2,1.95,USD,EQUITY,Financial Services,Asset Management,0.0003654634069783
ZBRA,ZBRA,Zebra Technologies Corporation,227.08,27.794369,11.324985,11170452480.0,1.655,,,USD,EQUITY,Technology,Communication Equipment,0.0003647369859277
DVN,DVN,Devon Energy Corporation,50.56,12.124701,9.419182,31420022784.0,0.526,0.96,1.9,USD,EQUITY,Energy,Oil & Gas E&P,0.0003636540419207
CBOE,CBOE,"Cboe Global Markets, Inc.",326.96,27.921434,23.785568,34246533120.0,0.369,2.79,0.93,USD,EQUITY,Financial Services,Financial Data & Stock Exchanges,0.0003608846883238
WY,WY,Weyerhaeuser Company,23.99,42.839287,34.6391,17297811456.0,,0.84,3.5,USD,EQUITY,Real Estate,REIT - Specialty,0.0003594835413143
LUV,LUV,Southwest Airlines Company,38.76,25.839998,8.564213,18944868352.0,1.184,0.72,1.86,USD,EQUITY,Industrials,Airlines,0.000359092088246
ULTA,ULTA,"Ulta Beauty, Inc.",531.95,20.746881,16.828894,23265701888.0,0.953,,,USD,EQUITY,Consumer Cyclical,Specialty Retail,0.0003587573044943
CMS,CMS,CMS Energy Corporation,76.03,21.060942,18.216364,23487158272.0,0.424,2.28,3.0,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0003580633817124
INVH,INVH,Invitation Homes Inc.,28.53,30.03158,41.886894,16946294784.0,0.816,1.2,4.21,USD,EQUITY,Real Estate,REIT - Residential,0.0003542328233131
FSLR,FSLR,"First Solar, Inc.",211.71,13.676357,8.686572,22748874752.0,1.607,,,USD,EQUITY,Technology,Solar,0.0003513029680628
BF-B,BF-B,Brown Forman Inc,25.55,14.8546505,15.033479,11719876608.0,0.421,0.92,3.58,USD,EQUITY,Consumer Defensive,Beverages - Wineries & Distilleries,0.0003484800033764
LDOS,LDOS,"Leidos Holdings, Inc.",149.23,13.407906,11.32672,18861580288.0,0.663,1.72,1.15,USD,EQUITY,Technology,Information Technology Services,0.0003476349746991
CFG,CFG,"Citizens Financial Group, Inc.",64.42,15.265403,10.083113,27444439040.0,1.058,1.84,2.86,USD,EQUITY,Financial Services,Banks - Regional,0.0003445049713815
LH,LH,Labcorp Holdings Inc.,255.84,22.680851,13.164042,21055631360.0,0.985,2.88,1.13,USD,EQUITY,Healthcare,Diagnostics & Research,0.0003440069962104
VRSN,VRSN,"VeriSign, Inc.",272.44,30.103867,25.575937,24792039424.0,0.695,3.24,1.19,USD,EQUITY,Technology,Software - Infrastructure,0.0003437865090906
IP,IP,International Paper Company,31.76,,11.89669,16816482304.0,1.099,1.85,5.82,USD,EQUITY,Consumer Cyclical,Packaging & Containers,0.0003403293491659
ESS,ESS,"Essex Property Trust, Inc.",263.35,29.58989,44.403492,18151712768.0,0.725,10.3,3.91,USD,EQUITY,Real Estate,REIT - Residential,0.0003400059140159
PODD,PODD,Insulet Corporation,175.04,50.298847,21.662453,12123919360.0,1.47,,,USD,EQUITY,Healthcare,Medical Devices,0.0003364096600275
COO,COO,"The Cooper Companies, Inc.",62.36,31.024876,12.421172,12167333888.0,1.074,,,USD,EQUITY,Healthcare,Medical Instruments & Supplies,0.0003355197527887
SMCI,SMCI,"Super Micro Computer, Inc.",27.09,19.773724,9.068086,16267055104.0,1.629,,,USD,EQUITY,Technology,Computer Hardware,0.0003328023890524
STX,STX,Seagate Technology Holdings PLC,726.93,68.96869,27.668276,162998779904.0,1.634,2.96,0.41,USD,EQUITY,Technology,Computer Hardware,0.0003322749738397
MAA,MAA,Mid-America Apartment Communiti,128.56,38.957577,33.048843,15336544256.0,0.789,6.12,4.76,USD,EQUITY,Real Estate,REIT - Residential,0.0003310617419892
FDS,FDS,FactSet Research Systems Inc.,227.58,14.644788,11.719812,8290996224.0,0.724,4.4,1.93,USD,EQUITY,Financial Services,Financial Data & Stock Exchanges,0.0003304697355464
NRG,NRG,"NRG Energy, Inc.",153.37,38.3425,13.471943,32572135424.0,1.338,1.9,1.24,USD,EQUITY,Utilities,Utilities - Independent Power Producers,0.0003296376398535
BBY,BBY,"Best Buy Co., Inc.",60.05,11.914682,8.562449,12582583296.0,1.374,3.84,6.39,USD,EQUITY,Consumer Cyclical,Specialty Retail,0.0003290646828493
SNA,SNA,Snap-On Incorporated,380.39,19.648245,17.862879,19704932352.0,0.761,9.76,2.57,USD,EQUITY,Industrials,Tools & Accessories,0.0003245285951436
L,L,Loews Corporation,111.7,13.997494,38.51724,22984251392.0,0.591,0.25,0.22,USD,EQUITY,Financial Services,Insurance - Property & Casualty,0.0003241493381376
PFG,PFG,Principal Financial Group Inc,101.09,14.503587,9.937019,21836691456.0,0.882,3.28,3.25,USD,EQUITY,Financial Services,Asset Management,0.0003180949327939
STLD,STLD,"Steel Dynamics, Inc.",229.27,24.57342,13.359703,33063665664.0,1.4,2.03,0.89,USD,EQUITY,Basic Materials,Steel,0.0003168841696327
TRMB,TRMB,Trimble Inc.,68.42,38.875,16.922113,15879511040.0,1.536,,,USD,EQUITY,Technology,Scientific & Technical Instruments,0.0003147582596476
OMC,OMC,Omnicom Group Inc.,76.92,,6.176984,21922676736.0,0.751,3.2,4.16,USD,EQUITY,Communication Services,Advertising Agencies,0.0003140030249393
CTRA,CTRA,Coterra Energy Inc.,35.38,15.794643,11.963373,26866036736.0,0.27,0.88,2.49,USD,EQUITY,Energy,Oil & Gas E&P,0.0003137499658587
HRL,HRL,Hormel Foods Corporation,21.33,23.966293,13.575179,11737562112.0,0.358,1.17,5.49,USD,EQUITY,Consumer Defensive,Packaged Foods,0.0003129172437819
ARE,ARE,Alexandria Real Estate Equities,41.39,,-47.034092,7213013504.0,1.343,4.08,9.86,USD,EQUITY,Real Estate,REIT - Office,0.0003118092444204
BLDR,BLDR,"Builders FirstSource, Inc.",75.72,28.900764,12.633771,8141262848.0,1.636,,,USD,EQUITY,Industrials,Building Products & Equipment,0.0003116139600395
