Symbol,Yahoo Symbol,Company,Price,Trailing P/E,Forward P/E,Market Cap,Beta,Dividend Rate,Dividend Yield,Currency,Quote Type,Sector,Industry,Weight
ABNB,ABNB,"Airbnb, Inc.",141.66,35.238808,24.566456,84220452864.0,1.16,,,USD,EQUITY,Consumer Cyclical,Travel Services,0.0015085792111776
DUK,DUK,Duke Energy Corporation (Holdin,128.6,20.38035,17.950867,100078673920.0,0.454,4.26,3.31,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0015048676288662
PH,PH,Parker-Hannifin Corporation,882.23,32.578655,25.923399,111352004608.0,1.25,8.0,0.91,USD,EQUITY,Industrials,Specialty Industrial Machinery,0.0014988088019894
CDNS,CDNS,"Cadence Design Systems, Inc.",340.94,79.28837,36.344913,94130831360.0,1.041,,,USD,EQUITY,Technology,Software - Application,0.001487554968429
WM,WM,"Waste Management, Inc.",228.77,33.107094,24.739382,91868487680.0,0.547,3.42,1.49,USD,EQUITY,Industrials,Waste Management,0.0014863153179179
DELL,DELL,Dell Technologies Inc.,210.17,24.213133,14.260657,136650162176.0,0.954,2.52,1.2,USD,EQUITY,Technology,Computer Hardware,0.0014589501544775
MDLZ,MDLZ,"Mondelez International, Inc.",61.37,30.381187,18.109495,78777589760.0,0.389,2.0,3.26,USD,EQUITY,Consumer Defensive,Confectioners,0.0014287891082413
MAR,MAR,Marriott International,354.97,37.325974,27.214405,94061568000.0,1.097,2.68,0.75,USD,EQUITY,Consumer Cyclical,Lodging,0.001419699467774
MSI,MSI,"Motorola Solutions, Inc.",435.9,34.241947,23.876532,72448155648.0,0.992,4.84,1.11,USD,EQUITY,Technology,Communication Equipment,0.0014129771161556
WELL,WELL,Welltower Inc.,216.91,105.29612,65.00793,153119899648.0,0.821,2.96,1.36,USD,EQUITY,Real Estate,REIT - Healthcare Facilities,0.0013963394764462
AON,AON,Aon plc,311.51,18.313345,14.578491,66530304000.0,,3.28,1.05,USD,EQUITY,Financial Services,Insurance Brokers,0.0013947705690998
REGN,REGN,"Regeneron Pharmaceuticals, Inc.",701.42,17.124512,13.078754,73536192512.0,0.397,3.76,0.54,USD,EQUITY,Healthcare,Biotechnology,0.001387599579251
CI,CI,The Cigna Group,282.9,11.99237,8.444489,74826481664.0,0.272,6.24,2.21,USD,EQUITY,Healthcare,Healthcare Plans,0.0013857975097231
HCA,HCA,"HCA Healthcare, Inc.",433.09,14.923845,13.066419,96076603392.0,1.366,3.12,0.72,USD,EQUITY,Healthcare,Medical Care Facilities,0.0013836367064722
PNC,PNC,"PNC Financial Services Group, I",220.71,12.817074,10.525473,89027993600.0,0.956,6.8,3.08,USD,EQUITY,Financial Services,Banks - Regional,0.0013760418389788
ITW,ITW,Illinois Tool Works Inc.,255.47,23.698517,21.007803,73626451968.0,1.145,6.44,2.52,USD,EQUITY,Industrials,Specialty Industrial Machinery,0.0013750642379991
